crm_name;crm_cp;crm_insee;crm_id;crm_commune;gt_siret;crm_adresse;SITE_CLI_COMMUNE;sirene_insee;sirene_cp;sirene_etat;loc_match_type;source_reference;source_product_category;source_contract_state;source_duplicate_count;target_siren;already_in_crm_ok_gt_exact;existing_component_relation;crm_surface_fingerprint;crm_gt_fingerprint;ambiguous_exact_truth_for_crm_surface;already_in_crm_ok_gt_exact_surface
DIRECTION INTERREGIONALE DE LA PROT;14000;14118;100003;CAEN;17140131800166;174 RUE DE BAYEUX;CAEN;14118;14000;A;INSEE_AND_CP;S231023_51969;Revente ADSL;active;1;171401318;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;44ede9e53b089d56131533eb595c18db89bbcd9e2dfa4ed8af8b4f424505a28e;12bbe81e12f5d79a2ce7be85167ab5c4a76f16121f08681bce77b5c57c2658bc;False;False
SMIL S SERVICES;59100;59512;100008;ROUBAIX;82257623700025;25 GRAND PLACE;ROUBAIX;59512;59100;A;INSEE_AND_CP;S231023_82302;Fibre Essentiel;active;1;822576237;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;c5be477972a0689caf9adcce21467498b14d6ca43e741fd7b336ca36b567ae42;9677eb33b3f449af7ce68c70e7dc42f1ae1767dfd7b2c734333d6c098e605f22;False;False
GROUPAMA SUPPORTS ET SERVICES;94100;94068;100012;ST MAUR DES FOSSES;32131914700013;46 RUE ELIAS HOWE;ST MAUR DES FOSSES;94068;94100;A;INSEE_AND_CP;S231023_15129;Fibre Essentiel;terminated;2;321319147;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;5c2a89d2c24de9180a5a210f3f333f48aacbbf1c229391b9948c0bc47dadef31;f1af26086a17e451a205490419808e3d3705621997170af020e3472c80aca738;False;False
     PLACEK ET EPELBAUM ;75002;75102;100015;PARIS;78422305900022;109 BOULEVARD DE SEBASTOPOL;PARIS;75102;75002;A;INSEE_AND_CP;S231023_86436;Fibre Essentiel;active;1;784223059;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;304bb0a818bcf0633a5f5822921bd06468a821229d744f3c8d93f6e69fe54b05;d1ddb5bc6234c8da4f7173d0eab49b2221cdfba3c38ea8fc9f6b836b97df3216;False;False
ASM OMNISPORTS;63000;63113;100016;CLERMONT FERRAND;77563411600039;84 BOULEVARD LEON JOUHAUX;CLERMONT FERRAND;63113;63100;A;INSEE_ONLY;S231023_20418;Fibre Confort;active;1;775634116;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;dc09b215663a3756b2873b64cdf797949d2b552ac893cdf39cf05bc7626c6144;6239d1941b920602d015413873e6df4580a171e778332e97b186cbd8ae564f70;False;False
MAIRIE DE VAULX EN VELIN;69120;69256;100026;VAULX EN VELIN;21690256900013;6 AVENUE BATAILLON CARMAGNOLE LIBERTE;VAULX EN VELIN;69256;69120;A;INSEE_AND_CP;S231023_88334;Fibre Essentiel;active;1;216902569;True;QUARANTINE_EXISTING_NONTRAIN_COMPONENT;4fe60c036cdacdcc51169e9db4336995a0c931e547ff91ef68277308b1e7ade7;dad2cc61cad25d8c16cdd90748fb168cb4bb24324a8e8b4c123f8bcec61602d3;False;False
SCM DU CABINET MEDICAL GALLIENI;33400;33522;100027;TALENCE;34966512500036;266 COURS DU MARECHAL GALLIENI;TALENCE;33522;33400;A;INSEE_AND_CP;S231023_36858;Fibre Essentiel;active;2;349665125;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;60eb311b8f010679808fe03f99be6cd296112470376677a15702cce07b710a26;d24566b59cd1fc272e95c40baff63f2cc468615774a7d8dd905250f38fe1f0ac;False;False
OGEC SAINT CHRISTOPHE;59200;59599;100033;TOURCOING;78385122300025;18 RUE DU COMMANDANT DRIANT;TOURCOING;59599;59200;F;INSEE_AND_CP;S231023_87436;Fibre Essentiel;active;1;783851223;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;d8287e0472b75b825726948fc8444cba7af04cb7f15e9ee8a7871a65b3b0cb4c;38c22670cbbca764c43f55ba9965810f373a67a24243ee904f76b06f9161734e;False;False
VINCENT GALLET GRAVURE;85170;85129;100036;LES LUCS SUR BOULOGNE;50434790700017;1215 BOULEVARD DU MAL DE LATTRE DE TASSIGNY;LES LUCS SUR BOULOGNE;85129;85170;A;INSEE_AND_CP;S231024_76225;Revente Fibre Essentiel AI;active;1;504347907;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;688657478b6e22e5f1d9b3bf801e3a91bf4622751857089f659f46900fe1d126;118f48ab2521ee56929f2d5ced80e3dd60b9b5a8d520835e7105696c62a84354;False;False
GUENERIE DIFFUSION;50000;50502;100048;ST LO;49873017500029;66 RUE ANDRE MARIE AMPERE;ST LO;50502;50000;A;INSEE_AND_CP;S231024_51428;Revente Fibre Essentiel AI;active;1;498730175;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;fb16ca1da3817a3576ad9a34f6acb6b160976b3b2be9af0156d7393276e1d133;65778e024fc46d6f174c2b6aa09817b5e8fcd24da54e17d55c2f2c22e3905293;False;False
